날짜,번호,뉴스 제목
2023.10.13,1,파리·런던 대중교통 '빈대와 전쟁'...서울 지하철은?
2023.10.13,2,"빈대 없는 서울지하철, 객실 의자 안심하고 이용하세요."
2023.10.13,3,“빈대는 없다”…지하철 객실 의자 교체·방역 나선 서울교통공사
2023.10.13,4,"서울교통공사, ""빈대 없는 지하철 의자, 안심하고 이용하세요"""
2023.10.14,1,“지하철서 벌레가 스멀”…佛 이어 영국도 ‘빈대’ 몸살
2023.10.15,1,[밀물썰물] 빈대의 낯짝
2023.10.16,1,올림픽 개최 도시에 '빈대'가?
2023.10.16,2,"프랑스서 활개치는 빈대, 인천에도? 사우나 일시 운영 중단"
2023.10.16,3,‘빈대’ 확인된 인천 서구 사우나.. ‘경고 처분’
2023.10.16,4,빈대 나온 인천 찜질방 뒤늦게 영업 중단…한국도 위험하다
2023.10.17,1,[뉴스딱] 유튜버 영상 사실이었다…사우나서 발견된 '골칫거리'
2023.10.18,1,[분석] 근절됐던 빈대가 다시 돌아온다...왔다??
2023.10.18,2,국적법 개정 기회 한국 국회서 외면
2023.10.19,1,'빈대 잡아라'
2023.10.19,2,'빈대 잡아라'
2023.10.19,3,'빈대 잡아라'
2023.10.19,4,빈대 나온 대학교 기숙사 방역
2023.10.19,5,빈대 나온 대학교 기숙사 방역
2023.10.19,6,빈대 나온 대학교 기숙사 방역
2023.10.19,7,'빈대 잡아라'
2023.10.19,8,"빈대 발생한 대학교 기숙사, 전체 방역"
2023.10.19,9,"빈대 발생한 대학교 기숙사, 전체 방역"
2023.10.19,10,"빈대 발생한 대학교 기숙사, 전체 방역"
2023.10.19,11,"빈대 발생한 대학교 기숙사, 전체 방역"
2023.10.19,12,대구 계명대 신축 기숙사에서 빈대 나와...방역 착수
2023.10.19,13,[포토] 빈대 나온 대학교 기숙사 방역
2023.10.19,14,인천 사우나 이어 대학교 기숙사서도…빈대 출몰해 ‘발칵’
2023.10.19,15,계명대 신축 기숙사 빈대 출몰···대학교 전체 소독
2023.10.19,16,"""빈대 물려 고열, 염증수치 400""…영국 학생 쓰던 기숙사방 발칵"
2023.10.19,17,대학교 기숙사에 빈대 출몰…'쉬쉬'하다 뒤늦게 방역
2023.10.19,18,인천 이어 대구에서도 발견...국내 '빈대 습격' 비상
2023.10.19,19,"유럽서 기승하던 빈대, 국내서도 출몰…기숙사-찜질방 등 피해신고"
2023.10.19,20,"[YTN 실시간뉴스] 尹, '의대 증원' 재확인...""충분한 소통"""
2023.10.19,21,"계명대 신축 기숙사 '빈대 출몰'…대학 ""추가 피해 없이 방역 진행 중"""
2023.10.19,22,[포토] “빈대를 잡아라”
