날짜,번호,뉴스 제목
2024.10.02,1,기울어져가는 유럽… 위기를 기회로
2024.10.02,2,빈대 잡고 초가삼간 지키는 AI 규제
2024.10.02,3,"곳곳에 분사되는 방역제 연기, 인체에 무해할까"
2024.10.03,1,[열린 광장] 안중근 의사의 만장
2024.10.04,1,"서랍·탈의실까지 뒤지다니… 우리은행 직원 ""빈대 잡다 초가삼간 태운..."
2024.10.05,1,“해외 나온 북한 요원들은 ‘국정원이 나 좀 안 건드려 주나’ 한다”
2024.10.06,1,“기업 하지 말란 거냐”…빈대 잡으려다 인공지능 불태우는 국회
2024.10.07,1,"어설프게 EU규제 따라가는 한국…AI 기술은 6위, 제도는 35위"
2024.10.07,2,"[기자의 눈] ‘티메프 규제’, 이커머스 생태계도 고려해야"
2024.10.08,1,"한동훈의 본격 세 결집, 협박될까? [주간 이철희]"
2024.10.08,2,[단독]임금체불 느는데 대지급금 받기 어렵게 지침 바꾼 노동부
2024.10.08,3,"임금체불 사상 최대인데…체불확인서 발급 급감, 왜?[2024국감]"
2024.10.10,1,[지지대] 사람 잡는 포획 포상금
2024.10.10,2,"이동엽의 세상읽기)기술의 부작용, 규제보다 인간가치를 강화할 때"
2024.10.10,3,"[오늘의 DT인] ""조선호텔과 스마트 매트리스 공동 개발… 내년 1월부터 ..."
2024.10.11,1,"""C커머스만 좋은 일""…업계, 티메프발 정부 규제안에 '촉각'"
2024.10.11,2,"이불 커튼 창고형 매장 바자르 일산점, 가을 상품 할인 대전"
2024.10.12,1,"""빈대 나와!"" 국내 빈대 탐지견 1호 '세코'"
2024.10.14,1,마을교육공동체 조례 폐지 재고해 달라
2024.10.15,1,"이동엽 세상읽기)기술의 부작용, 규제보다 인간가치를 강화할 때"
2024.10.15,2,경남마을교육공동체 조례 폐지 호응과 유감
2024.10.16,1,"[안용태 칼럼] 그린피 백서, 퍼블릭 그린피를 낮추는 법안 발의는 당장..."
2024.10.17,1,라스베가스 스트립 4개 호텔에서 빈대 발견
2024.10.17,2,의약품 간접수출은 약사법상 '판매'인가 '수출'인가 [화우의 바이오헬스...
2024.10.18,1,中 3분기 성장률 4.6%…시장 전망 이겼지만 ‘5% 성장’은 빨간불
2024.10.21,1,"경기도의회 이채영 의원 ""어린이통학차량 무공해차 일괄 전환 재검토돼..."
2024.10.21,2,이채영 경기도의원 “어린이통학 무공해차 일괄 전환 재검토를”
2024.10.21,3,"""환경보다 어린이 안전 최우선 고려해야"""
2024.10.22,1,"[독점연재] 정주영 히스토리 (63) ""머리는 생각하라고 달린 거야"""
2024.10.22,2,"홍서범 ""과거 ♥조갑경에 빌붙어볼까 생각…돈 벌 거야!"" 선언 (돌싱포맨..."
